OrderID,Date,Category,Region,UnitsSold,UnitPrice,Discount,CustomerRating,Revenue
ORD-1025,2025-01-26,Home & Kitchen,South,20,12.5,0.05,4.0,237.5
ORD-1026,2025-01-27,Home & Kitchen,East,19,120.0,0.15,4.0,1938.0
ORD-1027,2025-01-28,Clothing,West,15,499.0,0.0,4.0,7485.0
ORD-1028,2025-01-29,Books,South,16,15.99,0.25,2.0,191.88
ORD-1029,2025-01-30,Books,West,21,49.99,0.05,4.0,997.3004999999999
ORD-1030,2025-01-31,Home & Kitchen,South,5,250.5,0.0,4.0,1252.5
ORD-1031,2025-02-01,Books,West,3,15.99,0.1,5.0,43.173
ORD-1032,2025-02-02,Books,East,12,15.99,0.15,1.0,163.09799999999998
ORD-1033,2025-02-03,Electronics,South,20,120.0,0.0,4.0,2400.0
ORD-1034,2025-02-04,Home & Kitchen,East,21,499.0,0.05,4.0,9955.05
ORD-1035,2025-02-05,Beauty,South,4,250.5,0.1,5.0,901.8000000000001
ORD-1036,2025-02-06,Home & Kitchen,East,21,12.5,0.05,5.0,249.375
ORD-1037,2025-02-07,Beauty,East,23,12.5,0.05,4.0,273.125
ORD-1038,2025-02-08,Electronics,South,16,49.99,0.1,4.0,719.856
ORD-1039,2025-02-09,Clothing,South,7,250.5,0.05,5.0,1665.8249999999998
ORD-1040,2025-02-10,Books,South,13,12.5,0.1,1.0,146.25
ORD-1041,2025-02-11,Electronics,North,21,49.99,0.0,3.0,1049.79
ORD-1042,2025-02-12,Books,West,10,499.0,0.1,4.0,4491.0
ORD-1043,2025-02-13,Clothing,North,7,49.99,0.1,3.0,314.937
ORD-1044,2025-02-14,Clothing,North,14,12.5,0.15,,148.75
ORD-1045,2025-02-15,Electronics,East,5,120.0,0.1,5.0,540.0
ORD-1046,2025-02-16,Clothing,South,3,120.0,0.1,4.0,324.0
ORD-1047,2025-02-17,Beauty,West,23,120.0,0.0,4.0,2760.0
ORD-1048,2025-02-18,Clothing,East,11,12.5,0.15,,116.875
ORD-1049,2025-02-19,Books,North,11,120.0,0.25,5.0,990.0
ORD-1050,2025-02-20,Books,South,18,250.5,0.0,4.0,4509.0
ORD-1051,2025-02-21,Books,East,15,499.0,0.0,5.0,7485.0
ORD-1052,2025-02-22,Books,South,12,49.99,0.25,,449.90999999999997
ORD-1053,2025-02-23,Beauty,East,9,49.99,0.1,5.0,404.91900000000004
ORD-1054,2025-02-24,Home & Kitchen,South,10,12.5,0.05,2.0,118.75
ORD-1055,2025-02-25,Electronics,North,12,120.0,0.15,4.0,1224.0
ORD-1056,2025-02-26,Books,West,17,120.0,0.05,5.0,1938.0
ORD-1057,2025-02-27,Clothing,North,6,15.99,0.25,3.0,71.955
ORD-1058,2025-02-28,Books,West,7,499.0,0.0,5.0,3493.0
ORD-1059,2025-03-01,Clothing,South,14,250.5,0.0,3.0,3507.0
ORD-1060,2025-03-02,Clothing,East,13,49.99,0.15,1.0,552.3895
ORD-1061,2025-03-03,Books,North,8,15.99,0.0,4.0,127.92
ORD-1062,2025-03-04,Beauty,West,10,15.99,0.0,1.0,159.9
ORD-1063,2025-03-05,Clothing,North,9,12.5,0.15,,95.625
ORD-1064,2025-03-06,Clothing,West,18,49.99,0.15,5.0,764.847
ORD-1065,2025-03-07,Books,North,2,12.5,0.25,5.0,18.75
ORD-1066,2025-03-08,Clothing,West,5,250.5,0.0,4.0,1252.5
ORD-1067,2025-03-09,Clothing,West,5,15.99,0.0,3.0,79.95
ORD-1068,2025-03-10,Books,South,6,15.99,0.25,4.0,71.955
ORD-1069,2025-03-11,Books,West,19,499.0,0.1,4.0,8532.9
ORD-1070,2025-03-12,Electronics,South,8,250.5,0.1,4.0,1803.6000000000001
ORD-1071,2025-03-13,Beauty,West,16,15.99,0.1,4.0,230.256
ORD-1072,2025-03-14,Beauty,East,13,250.5,0.25,4.0,2442.375
ORD-1073,2025-03-15,Clothing,East,1,49.99,0.0,4.0,49.99
ORD-1074,2025-03-16,Beauty,East,22,120.0,0.25,,1980.0
ORD-1075,2025-03-17,Clothing,West,20,15.99,0.25,5.0,239.85000000000002
ORD-1076,2025-03-18,Electronics,South,17,499.0,0.1,4.0,7634.7
ORD-1077,2025-03-19,Books,South,7,49.99,0.05,4.0,332.4335
ORD-1078,2025-03-20,Books,West,13,250.5,0.0,5.0,3256.5
ORD-1079,2025-03-21,Books,East,4,12.5,0.1,1.0,45.0
ORD-1080,2025-03-22,Beauty,East,4,49.99,0.05,5.0,189.962
ORD-1081,2025-03-23,Electronics,South,6,15.99,0.05,5.0,91.143
ORD-1082,2025-03-24,Beauty,East,19,250.5,0.15,4.0,4045.575
ORD-1083,2025-03-25,Beauty,North,12,120.0,0.0,4.0,1440.0
ORD-1084,2025-03-26,Electronics,South,22,49.99,0.05,4.0,1044.791
ORD-1085,2025-03-27,Electronics,East,7,15.99,0.1,4.0,100.73700000000001
ORD-1086,2025-03-28,Electronics,South,10,499.0,0.15,1.0,4241.5
ORD-1087,2025-03-29,Electronics,North,19,12.5,0.0,5.0,237.5
ORD-1088,2025-03-30,Books,South,7,250.5,0.25,1.0,1315.125
ORD-1089,2025-03-31,Home & Kitchen,South,3,49.99,0.1,4.0,134.973
ORD-1090,2025-04-01,Home & Kitchen,South,13,49.99,0.05,5.0,617.3765
ORD-1091,2025-04-02,Electronics,South,13,120.0,0.05,5.0,1482.0
ORD-1092,2025-04-03,Home & Kitchen,North,18,120.0,0.1,4.0,1944.0
ORD-1093,2025-04-04,Home & Kitchen,West,20,499.0,0.05,4.0,9481.0
ORD-1094,2025-04-05,Electronics,South,8,12.5,0.15,1.0,85.0
ORD-1095,2025-04-06,Home & Kitchen,South,9,499.0,0.0,4.0,4491.0
ORD-1096,2025-04-07,Beauty,East,7,15.99,0.15,1.0,95.1405
ORD-1097,2025-04-08,Clothing,South,1,15.99,0.05,4.0,15.1905
ORD-1098,2025-04-09,Clothing,East,3,499.0,0.25,,1122.75
ORD-1099,2025-04-10,Electronics,West,13,12.5,0.0,3.0,162.5
ORD-1100,2025-04-11,Books,North,17,499.0,0.0,5.0,8483.0
ORD-1101,2025-04-12,Electronics,North,24,12.5,0.1,,270.0
ORD-1102,2025-04-13,Books,West,1,12.5,0.1,2.0,11.25
ORD-1103,2025-04-14,Clothing,North,6,250.5,0.25,5.0,1127.25
ORD-1104,2025-04-15,Electronics,West,21,12.5,0.0,4.0,262.5
ORD-1105,2025-04-16,Beauty,West,6,120.0,0.25,5.0,540.0
ORD-1106,2025-04-17,Home & Kitchen,West,12,12.5,0.1,4.0,135.0
ORD-1107,2025-04-18,Books,North,13,12.5,0.1,4.0,146.25
ORD-1108,2025-04-19,Home & Kitchen,East,13,12.5,0.0,4.0,162.5
ORD-1109,2025-04-20,Home & Kitchen,West,15,15.99,0.15,5.0,203.8725
ORD-1110,2025-04-21,Electronics,South,21,120.0,0.05,5.0,2394.0
ORD-1111,2025-04-22,Home & Kitchen,North,16,120.0,0.1,4.0,1728.0
ORD-1112,2025-04-23,Beauty,West,22,499.0,0.1,5.0,9880.2
ORD-1113,2025-04-24,Home & Kitchen,West,21,250.5,0.15,3.0,4471.425
ORD-1114,2025-04-25,Electronics,South,11,12.5,0.15,3.0,116.875
ORD-1115,2025-04-26,Beauty,East,5,49.99,0.25,3.0,187.4625
ORD-1116,2025-04-27,Clothing,East,4,250.5,0.25,4.0,751.5
ORD-1117,2025-04-28,Home & Kitchen,East,3,250.5,0.05,3.0,713.925
ORD-1118,2025-04-29,Electronics,West,19,120.0,0.05,5.0,2166.0
ORD-1119,2025-04-30,Clothing,West,20,250.5,0.0,3.0,5010.0
ORD-1120,2025-05-01,Clothing,West,18,12.5,0.25,4.0,168.75
ORD-1121,2025-05-02,Books,North,15,12.5,0.1,3.0,168.75
ORD-1122,2025-05-03,Beauty,South,9,15.99,0.25,5.0,107.9325
ORD-1123,2025-05-04,Home & Kitchen,West,17,12.5,0.1,,191.25
ORD-1124,2025-05-05,Electronics,South,14,12.5,0.15,4.0,148.75
ORD-1125,2025-05-06,Books,South,15,120.0,0.25,5.0,1350.0
ORD-1126,2025-05-07,Beauty,East,1,12.5,0.15,1.0,10.625
ORD-1127,2025-05-08,Books,North,21,15.99,0.05,5.0,319.0005
ORD-1128,2025-05-09,Beauty,West,22,49.99,0.05,3.0,1044.791
ORD-1129,2025-05-10,Beauty,East,22,120.0,0.0,5.0,2640.0
ORD-1130,2025-05-11,Home & Kitchen,East,3,49.99,0.25,1.0,112.47749999999999
ORD-1131,2025-05-12,Beauty,West,16,120.0,0.15,4.0,1632.0
ORD-1132,2025-05-13,Books,South,23,499.0,0.1,5.0,10329.300000000001
ORD-1133,2025-05-14,Beauty,East,11,250.5,0.05,4.0,2617.725
ORD-1134,2025-05-15,Home & Kitchen,South,12,499.0,0.05,3.0,5688.599999999999
ORD-1135,2025-05-16,Home & Kitchen,North,10,12.5,0.1,2.0,112.5
ORD-1136,2025-05-17,Books,South,16,49.99,0.15,4.0,679.864
ORD-1137,2025-05-18,Clothing,North,8,12.5,0.15,4.0,85.0
ORD-1138,2025-05-19,Clothing,South,6,250.5,0.25,3.0,1127.25
ORD-1139,2025-05-20,Beauty,East,12,120.0,0.25,4.0,1080.0
ORD-1140,2025-05-21,Electronics,East,24,250.5,0.0,1.0,6012.0
ORD-1141,2025-05-22,Beauty,North,21,15.99,0.05,5.0,319.0005
ORD-1142,2025-05-23,Books,West,8,250.5,0.25,3.0,1503.0
ORD-1143,2025-05-24,Books,North,4,15.99,0.15,4.0,54.366
ORD-1144,2025-05-25,Books,North,8,250.5,0.1,1.0,1803.6000000000001
ORD-1145,2025-05-26,Books,South,18,15.99,0.15,4.0,244.647
ORD-1146,2025-05-27,Books,South,5,49.99,0.05,5.0,237.45250000000001
ORD-1147,2025-05-28,Home & Kitchen,North,9,12.5,0.15,4.0,95.625
ORD-1148,2025-05-29,Clothing,East,4,12.5,0.0,3.0,50.0
ORD-1149,2025-05-30,Books,South,22,499.0,0.05,5.0,10429.1
ORD-1150,2025-05-31,Electronics,West,17,12.5,0.1,5.0,191.25
ORD-1151,2025-06-01,Electronics,South,9,120.0,0.0,3.0,1080.0
ORD-1152,2025-06-02,Electronics,South,1,250.5,0.05,5.0,237.975
ORD-1153,2025-06-03,Electronics,West,21,499.0,0.1,5.0,9431.1
ORD-1154,2025-06-04,Home & Kitchen,North,20,120.0,0.0,3.0,2400.0
ORD-1155,2025-06-05,Electronics,West,13,120.0,0.0,5.0,1560.0
ORD-1156,2025-06-06,Books,North,16,15.99,0.05,5.0,243.048
ORD-1157,2025-06-07,Beauty,North,13,12.5,0.25,4.0,121.875
ORD-1158,2025-06-08,Electronics,North,14,49.99,0.0,2.0,699.86
ORD-1159,2025-06-09,Home & Kitchen,West,3,49.99,0.0,2.0,149.97
ORD-1160,2025-06-10,Home & Kitchen,North,6,499.0,0.1,5.0,2694.6
ORD-1161,2025-06-11,Electronics,East,18,49.99,0.15,,764.847
ORD-1162,2025-06-12,Beauty,West,19,250.5,0.05,4.0,4521.525
ORD-1163,2025-06-13,Electronics,East,5,49.99,0.05,4.0,237.45250000000001
ORD-1164,2025-06-14,Home & Kitchen,North,15,499.0,0.25,4.0,5613.75
ORD-1165,2025-06-15,Clothing,South,2,49.99,0.25,4.0,74.985
ORD-1166,2025-06-16,Books,North,10,250.5,0.05,4.0,2379.75
ORD-1167,2025-06-17,Home & Kitchen,East,24,15.99,0.25,2.0,287.82
ORD-1168,2025-06-18,Electronics,East,18,499.0,0.1,5.0,8083.8
ORD-1169,2025-06-19,Books,West,13,15.99,0.05,4.0,197.4765
ORD-1170,2025-06-20,Electronics,South,5,15.99,0.25,5.0,59.962500000000006
ORD-1171,2025-06-21,Electronics,West,23,15.99,0.05,4.0,349.38149999999996
ORD-1172,2025-06-22,Clothing,East,24,120.0,0.15,1.0,2448.0
ORD-1173,2025-06-23,Books,North,1,12.5,0.0,3.0,12.5
ORD-1174,2025-06-24,Books,South,22,120.0,0.05,4.0,2508.0
ORD-1175,2025-06-25,Clothing,North,1,12.5,0.0,5.0,12.5
ORD-1176,2025-06-26,Home & Kitchen,North,18,15.99,0.25,3.0,215.865
ORD-1177,2025-06-27,Electronics,South,15,499.0,0.0,5.0,7485.0
ORD-1178,2025-06-28,Beauty,West,17,12.5,0.05,4.0,201.875
ORD-1179,2025-06-29,Electronics,North,11,250.5,0.15,5.0,2342.1749999999997
ORD-1180,2025-06-30,Electronics,East,21,250.5,0.25,4.0,3945.375
ORD-1181,2025-07-01,Home & Kitchen,North,22,49.99,0.05,5.0,1044.791
ORD-1182,2025-07-02,Electronics,South,17,12.5,0.25,5.0,159.375
ORD-1183,2025-07-03,Clothing,South,13,499.0,0.1,3.0,5838.3
ORD-1184,2025-07-04,Clothing,South,1,120.0,0.0,3.0,120.0
ORD-1185,2025-07-05,Books,West,2,15.99,0.1,5.0,28.782
ORD-1186,2025-07-06,Beauty,North,9,49.99,0.05,,427.4145
ORD-1187,2025-07-07,Electronics,West,3,250.5,0.15,1.0,638.775
ORD-1188,2025-07-08,Electronics,West,1,120.0,0.25,5.0,90.0
ORD-1189,2025-07-09,Home & Kitchen,South,21,120.0,0.0,5.0,2520.0
ORD-1190,2025-07-10,Clothing,South,16,15.99,0.25,5.0,191.88
ORD-1191,2025-07-11,Beauty,West,23,12.5,0.05,,273.125
ORD-1192,2025-07-12,Books,North,6,250.5,0.25,5.0,1127.25
ORD-1193,2025-07-13,Clothing,East,17,499.0,0.0,4.0,8483.0
ORD-1194,2025-07-14,Books,West,5,120.0,0.05,4.0,570.0
ORD-1195,2025-07-15,Home & Kitchen,North,5,15.99,0.25,4.0,59.962500000000006
ORD-1196,2025-07-16,Home & Kitchen,South,6,499.0,0.15,5.0,2544.9
ORD-1197,2025-07-17,Electronics,South,3,12.5,0.05,5.0,35.625
ORD-1198,2025-07-18,Beauty,North,21,250.5,0.05,3.0,4997.474999999999
ORD-1199,2025-07-19,Books,East,23,12.5,0.15,5.0,244.375
ORD-1200,2025-07-20,Clothing,South,5,120.0,0.1,5.0,540.0
ORD-1201,2025-07-21,Home & Kitchen,South,21,499.0,0.0,4.0,10479.0
ORD-1202,2025-07-22,Electronics,South,5,499.0,0.1,4.0,2245.5
ORD-1203,2025-07-23,Electronics,North,10,499.0,0.25,4.0,3742.5
ORD-1204,2025-07-24,Books,West,10,120.0,0.15,3.0,1020.0
ORD-1205,2025-07-25,Home & Kitchen,South,19,120.0,0.1,3.0,2052.0
ORD-1206,2025-07-26,Beauty,West,17,12.5,0.05,2.0,201.875
ORD-1207,2025-07-27,Home & Kitchen,East,21,49.99,0.25,3.0,787.3425
ORD-1208,2025-07-28,Books,South,14,12.5,0.25,4.0,131.25
ORD-1209,2025-07-29,Books,South,9,250.5,0.1,4.0,2029.05
ORD-1210,2025-07-30,Home & Kitchen,East,14,15.99,0.1,1.0,201.47400000000002
ORD-1211,2025-07-31,Books,South,1,499.0,0.15,5.0,424.15
ORD-1212,2025-08-01,Home & Kitchen,West,19,49.99,0.0,4.0,949.8100000000001
ORD-1213,2025-08-02,Clothing,North,13,15.99,0.1,5.0,187.083
ORD-1214,2025-08-03,Home & Kitchen,West,13,49.99,0.1,,584.883
ORD-1215,2025-08-04,Home & Kitchen,North,4,12.5,0.05,3.0,47.5
ORD-1216,2025-08-05,Books,North,1,120.0,0.25,4.0,90.0
ORD-1217,2025-08-06,Books,West,17,499.0,0.0,1.0,8483.0
ORD-1218,2025-08-07,Electronics,West,8,12.5,0.05,4.0,95.0
ORD-1219,2025-08-08,Electronics,West,2,15.99,0.15,4.0,27.183
ORD-1220,2025-08-09,Clothing,West,8,15.99,0.15,3.0,108.732
ORD-1221,2025-08-10,Electronics,East,7,15.99,0.1,4.0,100.73700000000001
ORD-1222,2025-08-11,Home & Kitchen,South,2,15.99,0.1,3.0,28.782
ORD-1223,2025-08-12,Books,North,22,15.99,0.15,3.0,299.01300000000003
ORD-1224,2025-08-13,Electronics,West,22,49.99,0.1,4.0,989.802
ORD-1225,2025-08-14,Electronics,West,3,12.5,0.0,4.0,37.5
ORD-1226,2025-08-15,Clothing,West,18,499.0,0.1,4.0,8083.8
ORD-1227,2025-08-16,Clothing,East,12,120.0,0.25,4.0,1080.0
ORD-1228,2025-08-17,Home & Kitchen,West,1,120.0,0.1,,108.0
ORD-1229,2025-08-18,Books,West,22,12.5,0.05,3.0,261.25
ORD-1230,2025-08-19,Clothing,West,12,12.5,0.0,4.0,150.0
ORD-1231,2025-08-20,Electronics,South,5,120.0,0.05,4.0,570.0
ORD-1232,2025-08-21,Books,East,17,120.0,0.05,4.0,1938.0
ORD-1233,2025-08-22,Books,West,16,49.99,0.25,,599.88
ORD-1234,2025-08-23,Electronics,North,15,250.5,0.0,5.0,3757.5
ORD-1235,2025-08-24,Clothing,North,23,499.0,0.0,4.0,11477.0
ORD-1236,2025-08-25,Electronics,North,15,15.99,0.0,5.0,239.85
ORD-1237,2025-08-26,Books,East,5,250.5,0.0,,1252.5
ORD-1238,2025-08-27,Beauty,East,21,12.5,0.0,5.0,262.5
ORD-1239,2025-08-28,Beauty,North,14,120.0,0.25,5.0,1260.0
ORD-1240,2025-08-29,Home & Kitchen,West,2,250.5,0.1,5.0,450.90000000000003
ORD-1241,2025-08-30,Electronics,East,11,499.0,0.05,3.0,5214.55
ORD-1242,2025-08-31,Electronics,North,19,12.5,0.0,3.0,237.5
ORD-1243,2025-09-01,Home & Kitchen,North,7,15.99,0.1,4.0,100.73700000000001
ORD-1244,2025-09-02,Home & Kitchen,West,6,15.99,0.1,1.0,86.346
ORD-1245,2025-09-03,Home & Kitchen,South,2,499.0,0.05,4.0,948.0999999999999
ORD-1246,2025-09-04,Books,East,6,499.0,0.25,3.0,2245.5
ORD-1247,2025-09-05,Electronics,West,18,120.0,0.15,4.0,1836.0
ORD-1248,2025-09-06,Books,North,2,15.99,0.15,5.0,27.183
ORD-1249,2025-09-07,Home & Kitchen,North,18,12.5,0.1,5.0,202.5
ORD-1250,2025-09-08,Electronics,West,15,250.5,0.05,2.0,3569.625
ORD-1251,2025-09-09,Books,East,19,12.5,0.15,4.0,201.875
ORD-1252,2025-09-10,Books,South,2,49.99,0.1,5.0,89.982
ORD-1253,2025-09-11,Home & Kitchen,South,20,49.99,0.25,2.0,749.85
ORD-1254,2025-09-12,Electronics,North,6,499.0,0.15,5.0,2544.9
ORD-1255,2025-09-13,Home & Kitchen,East,1,120.0,0.1,4.0,108.0
ORD-1256,2025-09-14,Electronics,South,24,49.99,0.1,4.0,1079.784
ORD-1257,2025-09-15,Beauty,East,15,15.99,0.0,,239.85
ORD-1258,2025-09-16,Clothing,East,23,12.5,0.25,3.0,215.625
ORD-1259,2025-09-17,Clothing,North,10,12.5,0.0,4.0,125.0
ORD-1260,2025-09-18,Clothing,South,19,499.0,0.05,5.0,9006.949999999999
ORD-1261,2025-09-19,Home & Kitchen,West,17,250.5,0.0,1.0,4258.5
ORD-1262,2025-09-20,Beauty,North,5,499.0,0.0,4.0,2495.0
ORD-1263,2025-09-21,Electronics,South,4,250.5,0.15,,851.6999999999999
ORD-1264,2025-09-22,Books,South,10,499.0,0.1,3.0,4491.0
ORD-1265,2025-09-23,Electronics,South,24,499.0,0.25,5.0,8982.0
ORD-1266,2025-09-24,Books,South,17,499.0,0.0,4.0,8483.0
ORD-1267,2025-09-25,Electronics,South,10,250.5,0.25,4.0,1878.75
ORD-1268,2025-09-26,Beauty,East,17,250.5,0.0,4.0,4258.5
ORD-1269,2025-09-27,Books,North,20,499.0,0.05,4.0,9481.0
ORD-1270,2025-09-28,Home & Kitchen,East,24,49.99,0.0,5.0,1199.76
ORD-1271,2025-09-29,Electronics,West,5,120.0,0.15,5.0,510.0
ORD-1272,2025-09-30,Electronics,South,2,120.0,0.1,4.0,216.0
ORD-1273,2025-10-01,Books,North,6,120.0,0.05,5.0,684.0
ORD-1274,2025-10-02,Home & Kitchen,South,21,250.5,0.0,4.0,5260.5
ORD-1275,2025-10-03,Home & Kitchen,North,2,250.5,0.25,4.0,375.75
ORD-1276,2025-10-04,Beauty,East,13,49.99,0.05,4.0,617.3765
ORD-1277,2025-10-05,Home & Kitchen,North,11,120.0,0.05,4.0,1254.0
ORD-1278,2025-10-06,Home & Kitchen,West,11,120.0,0.0,4.0,1320.0
ORD-1279,2025-10-07,Home & Kitchen,West,16,499.0,0.05,5.0,7584.799999999999
ORD-1280,2025-10-08,Clothing,North,11,250.5,0.25,4.0,2066.625
ORD-1281,2025-10-09,Beauty,North,19,120.0,0.05,1.0,2166.0
ORD-1282,2025-10-10,Electronics,North,15,12.5,0.25,3.0,140.625
ORD-1283,2025-10-11,Books,North,23,49.99,0.0,4.0,1149.77
ORD-1284,2025-10-12,Electronics,West,23,12.5,0.1,5.0,258.75
ORD-1285,2025-10-13,Beauty,South,16,12.5,0.05,4.0,190.0
ORD-1286,2025-10-14,Books,North,11,49.99,0.1,4.0,494.901
ORD-1287,2025-10-15,Beauty,North,22,12.5,0.25,4.0,206.25
ORD-1288,2025-10-16,Home & Kitchen,West,16,120.0,0.05,4.0,1824.0
ORD-1289,2025-10-17,Books,West,8,250.5,0.15,4.0,1703.3999999999999
ORD-1290,2025-10-18,Home & Kitchen,East,4,49.99,0.1,4.0,179.964
ORD-1291,2025-10-19,Electronics,North,8,499.0,0.05,5.0,3792.3999999999996
ORD-1292,2025-10-20,Electronics,East,4,12.5,0.1,5.0,45.0
ORD-1293,2025-10-21,Books,West,24,49.99,0.05,4.0,1139.772
ORD-1294,2025-10-22,Books,West,3,15.99,0.0,1.0,47.97
ORD-1295,2025-10-23,Beauty,South,3,15.99,0.1,3.0,43.173
ORD-1296,2025-10-24,Beauty,North,18,250.5,0.15,1.0,3832.65
ORD-1297,2025-10-25,Home & Kitchen,East,19,120.0,0.15,4.0,1938.0
ORD-1298,2025-10-26,Books,West,19,250.5,0.25,4.0,3569.625
ORD-1299,2025-10-27,Electronics,West,21,250.5,0.05,4.0,4997.474999999999
